0,1,443.81,159.72,89.10,176.77,0.94,-1,-1,-1
0,2,1501.20,-4.18,70.20,170.90,0.93,-1,-1,-1
0,3,525.83,150.61,81.00,184.87,0.91,-1,-1,-1
1,1,443.51,159.72,89.11,176.77,0.94,-1,-1,-1
1,2,1501.03,-4.29,70.54,171.74,0.93,-1,-1,-1
1,3,525.54,150.32,80.99,184.87,0.90,-1,-1,-1
2,1,443.22,159.85,89.07,176.63,0.94,-1,-1,-1
2,2,1500.84,-4.11,70.92,172.74,0.93,-1,-1,-1
2,3,525.17,150.00,81.10,185.13,0.90,-1,-1,-1
3,1,442.76,160.15,88.78,176.08,0.94,-1,-1,-1
3,2,1500.74,-4.18,71.12,173.30,0.93,-1,-1,-1
3,3,524.69,150.17,80.83,184.44,0.91,-1,-1,-1
4,1,442.11,160.37,88.71,176.03,0.93,-1,-1,-1
4,2,1501.67,-4.11,71.24,173.73,0.93,-1,-1,-1
4,3,523.81,150.73,80.73,183.96,0.91,-1,-1,-1
5,1,441.79,160.56,88.45,175.66,0.93,-1,-1,-1
5,2,1501.85,-3.97,71.56,174.32,0.93,-1,-1,-1
5,3,523.25,151.04,80.78,183.69,0.91,-1,-1,-1
6,1,441.75,160.73,88.25,175.42,0.93,-1,-1,-1
6,2,1501.92,-3.83,71.62,174.24,0.93,-1,-1,-1
6,3,522.96,151.20,80.56,182.84,0.91,-1,-1,-1
7,1,442.01,160.79,88.14,175.35,0.93,-1,-1,-1
7,2,1502.88,-3.52,71.61,173.99,0.93,-1,-1,-1
7,3,522.01,151.25,80.37,182.08,0.90,-1,-1,-1
8,1,442.19,160.91,87.96,175.22,0.92,-1,-1,-1
8,2,1503.23,-3.04,71.56,173.62,0.92,-1,-1,-1
8,3,521.68,151.26,79.85,180.67,0.90,-1,-1,-1
9,1,442.58,160.95,87.72,174.95,0.92,-1,-1,-1
9,2,1503.22,-2.41,71.81,173.47,0.92,-1,-1,-1
9,3,521.68,151.55,79.01,178.74,0.89,-1,-1,-1
10,1,443.60,161.08,87.73,174.97,0.91,-1,-1,-1
10,2,1503.97,-2.08,72.16,173.63,0.92,-1,-1,-1
10,3,520.30,151.64,79.23,179.21,0.86,-1,-1,-1
11,1,443.78,161.12,87.68,174.99,0.92,-1,-1,-1
11,2,1503.83,-1.68,73.11,174.88,0.92,-1,-1,-1
11,3,518.52,151.45,79.17,179.41,0.84,-1,-1,-1
12,1,444.11,161.01,87.58,174.89,0.92,-1,-1,-1
12,2,1504.43,-1.59,73.93,175.95,0.92,-1,-1,-1
12,3,516.57,150.97,79.54,181.14,0.83,-1,-1,-1
13,1,444.47,161.08,87.52,174.97,0.92,-1,-1,-1
13,2,1504.33,-1.57,74.85,176.79,0.93,-1,-1,-1
13,3,514.40,150.85,79.48,182.76,0.83,-1,-1,-1
14,1,444.98,160.88,87.65,175.23,0.91,-1,-1,-1
14,2,1505.11,-1.18,75.31,176.59,0.93,-1,-1,-1
14,3,512.34,150.19,79.77,185.78,0.71,-1,-1,-1
15,1,445.25,161.03,87.52,175.33,0.91,-1,-1,-1
15,2,1506.10,-0.82,75.86,176.05,0.93,-1,-1,-1
15,3,511.83,149.77,79.44,187.75,0.72,-1,-1,-1
16,1,445.23,161.08,87.26,175.37,0.90,-1,-1,-1
16,2,1506.32,-0.02,76.32,175.38,0.93,-1,-1,-1
16,3,511.83,149.45,79.02,189.65,0.70,-1,-1,-1
17,1,445.63,161.09,86.78,175.16,0.90,-1,-1,-1
17,2,1506.16,0.60,76.93,174.56,0.93,-1,-1,-1
17,3,511.86,149.44,78.43,190.35,0.63,-1,-1,-1
18,1,446.30,160.88,86.44,175.31,0.89,-1,-1,-1
18,2,1506.99,0.91,77.14,172.82,0.93,-1,-1,-1
18,3,512.05,149.34,77.94,191.03,0.52,-1,-1,-1
19,1,447.38,160.57,86.43,175.59,0.87,-1,-1,-1
19,2,1507.60,0.70,78.37,173.82,0.93,-1,-1,-1
19,3,511.55,149.08,77.18,191.04,0.44,-1,-1,-1
20,1,448.68,160.56,86.43,175.59,0.88,-1,-1,-1
20,2,1508.44,0.61,79.34,174.42,0.93,-1,-1,-1
20,3,511.18,149.37,76.42,190.52,0.55,-1,-1,-1
21,1,449.10,160.78,86.08,175.36,0.88,-1,-1,-1
21,2,1509.35,0.79,80.26,175.09,0.93,-1,-1,-1
21,3,511.52,149.94,75.69,189.85,0.67,-1,-1,-1
22,1,449.35,160.42,85.76,175.72,0.90,-1,-1,-1
22,2,1510.65,1.52,80.42,174.68,0.93,-1,-1,-1
22,3,511.90,150.26,74.99,189.47,0.79,-1,-1,-1
23,1,449.76,160.28,85.40,176.08,0.91,-1,-1,-1
23,2,1512.03,2.01,80.41,174.51,0.93,-1,-1,-1
23,3,511.57,150.72,74.38,188.98,0.78,-1,-1,-1
24,1,450.43,160.12,85.12,176.55,0.90,-1,-1,-1
24,2,1513.42,2.51,80.40,174.34,0.93,-1,-1,-1
24,3,511.87,150.89,73.79,188.78,0.70,-1,-1,-1
25,1,451.03,159.95,84.73,176.84,0.90,-1,-1,-1
25,2,1514.84,2.81,80.31,174.61,0.93,-1,-1,-1
25,3,512.22,151.23,73.16,188.09,0.74,-1,-1,-1
26,1,451.77,159.67,84.42,176.94,0.89,-1,-1,-1
26,2,1515.99,2.51,80.75,176.21,0.93,-1,-1,-1
26,3,511.84,151.69,72.64,187.37,0.65,-1,-1,-1
27,1,452.81,159.78,84.09,176.76,0.88,-1,-1,-1
27,2,1517.60,3.00,80.28,176.87,0.92,-1,-1,-1
27,3,511.04,151.98,72.46,187.33,0.68,-1,-1,-1
28,1,452.76,160.05,83.48,176.46,0.89,-1,-1,-1
28,2,1519.07,3.73,80.07,178.11,0.92,-1,-1,-1
28,3,511.10,151.85,72.17,187.09,0.75,-1,-1,-1
29,1,453.28,159.82,83.49,176.90,0.90,-1,-1,-1
29,2,1520.57,3.94,79.81,179.85,0.92,-1,-1,-1
29,3,510.71,151.80,72.01,187.00,0.83,-1,-1,-1
30,1,453.36,159.40,83.24,177.18,0.90,-1,-1,-1
30,2,1522.23,5.07,79.22,180.66,0.92,-1,-1,-1
30,3,510.50,152.28,71.68,186.13,0.86,-1,-1,-1
31,1,452.58,158.91,82.98,177.83,0.90,-1,-1,-1
31,2,1522.93,5.42,78.76,181.67,0.92,-1,-1,-1
31,3,510.00,152.90,71.54,185.35,0.88,-1,-1,-1
32,1,452.23,158.73,82.51,178.08,0.90,-1,-1,-1
32,2,1524.24,6.16,78.20,182.31,0.91,-1,-1,-1
32,3,509.42,153.58,71.42,184.62,0.88,-1,-1,-1
33,1,452.00,158.56,82.06,178.27,0.90,-1,-1,-1
33,2,1524.86,6.75,77.65,182.87,0.90,-1,-1,-1
33,3,509.40,153.82,71.46,184.13,0.87,-1,-1,-1
34,1,451.36,158.16,81.67,178.68,0.90,-1,-1,-1
34,2,1525.34,7.35,76.88,182.66,0.90,-1,-1,-1
34,3,508.02,153.79,72.03,184.29,0.84,-1,-1,-1
35,1,451.11,158.13,81.09,178.49,0.90,-1,-1,-1
35,2,1525.86,7.95,75.82,182.18,0.90,-1,-1,-1
35,3,507.66,153.88,72.40,184.03,0.87,-1,-1,-1
