0,1,976.05,229.16,114.75,232.88,0.93,0
0,2,325.69,56.45,68.85,167.32,0.93,1
0,3,816.08,251.44,70.20,230.85,0.92,0
1,1,976.63,230.63,113.60,230.53,0.92,0
1,2,331.97,56.45,69.03,167.32,0.93,1
1,3,818.28,250.85,68.14,223.82,0.92,0
2,1,976.75,231.14,113.36,230.13,0.92,0
2,2,337.64,56.25,69.61,167.78,0.93,1
2,3,819.06,249.95,68.04,223.16,0.92,0
3,1,977.77,232.57,112.34,228.50,0.92,0
3,2,343.72,58.41,69.57,165.96,0.93,1
3,3,820.32,248.39,67.99,222.55,0.91,0
4,1,977.72,233.24,111.78,228.51,0.92,0
4,2,348.69,57.98,70.73,166.61,0.93,1
4,3,820.75,247.55,68.86,225.07,0.91,0
5,1,978.11,233.67,110.75,228.56,0.92,0
5,2,352.13,58.95,71.35,165.59,0.93,1
5,3,821.58,246.71,68.67,223.89,0.91,0
6,1,979.22,233.79,109.39,229.08,0.91,0
6,2,353.24,60.04,72.35,165.30,0.93,1
6,3,823.64,246.58,67.83,220.28,0.92,0
7,1,983.20,234.96,107.33,228.35,0.90,0
7,2,353.51,60.81,73.35,164.92,0.92,1
7,3,825.19,246.10,67.70,219.01,0.92,0
8,1,988.21,234.90,105.90,229.48,0.89,0
8,2,353.91,60.95,74.62,165.03,0.92,1
8,3,827.11,245.62,67.61,217.10,0.92,0
9,1,994.80,235.54,103.09,228.54,0.90,0
9,2,355.12,60.88,75.41,164.48,0.91,1
9,3,829.28,244.78,68.23,216.90,0.93,0
10,1,1001.35,235.86,100.11,227.18,0.90,0
10,2,356.40,60.10,76.98,166.29,0.91,1
10,3,831.40,243.59,69.34,217.79,0.93,0
11,1,1006.18,236.30,97.67,226.79,0.90,0
11,2,358.57,58.94,78.01,168.03,0.90,1
11,3,833.08,243.06,70.57,218.50,0.94,0
12,1,1010.49,236.89,95.17,225.31,0.90,0
12,2,361.59,58.33,77.80,167.74,0.91,1
12,3,835.02,242.79,71.87,218.90,0.94,0
13,1,1013.78,237.31,93.36,224.33,0.90,0
13,2,365.28,57.51,78.23,169.66,0.91,1
13,3,836.57,242.03,73.28,219.98,0.94,0
14,1,1016.84,238.58,92.44,224.43,0.91,0
14,2,367.35,56.64,78.16,171.05,0.90,1
14,3,838.12,241.78,74.42,220.39,0.93,0
15,1,1020.12,239.70,92.12,224.04,0.92,0
15,2,370.51,56.71,77.17,171.06,0.88,1
15,3,839.76,241.71,75.27,220.11,0.93,0
16,1,1024.13,240.10,92.51,223.92,0.93,0
16,2,374.81,56.43,74.83,169.12,0.89,1
16,3,841.71,240.81,76.37,220.91,0.93,0
17,1,1027.39,240.22,93.44,224.34,0.92,0
17,2,379.34,56.14,74.19,170.13,0.89,1
17,3,843.48,240.50,77.24,221.21,0.93,0
18,1,1029.07,240.24,94.46,224.51,0.93,0
18,2,383.13,56.09,73.57,170.89,0.89,1
18,3,844.37,240.18,77.87,221.33,0.93,0
19,1,1030.18,240.68,95.44,224.14,0.93,0
19,2,389.62,56.41,73.24,171.17,0.90,1
19,3,845.69,239.85,77.76,220.03,0.93,0
20,1,1031.10,241.05,96.38,223.57,0.93,0
20,2,396.37,56.70,73.65,171.32,0.89,1
20,3,846.78,238.41,78.18,220.44,0.93,0
21,1,1031.47,241.28,97.38,223.70,0.93,0
21,2,402.61,57.63,73.73,169.67,0.90,1
21,3,846.86,237.00,77.96,219.26,0.93,0
22,1,1032.26,241.01,98.05,223.87,0.93,0
22,2,408.39,58.85,73.78,167.27,0.91,1
22,3,847.02,234.70,78.39,220.16,0.93,0
23,1,1033.33,240.56,98.37,223.61,0.93,0
23,2,412.08,59.89,74.03,165.32,0.89,1
23,3,846.82,233.19,78.95,221.62,0.93,0
24,1,1035.15,240.26,99.07,224.75,0.92,0
24,2,414.86,60.47,75.03,165.42,0.89,1
24,3,847.19,231.32,79.05,221.73,0.93,0
25,1,1038.04,239.92,99.22,225.63,0.92,0
25,2,416.58,60.40,75.97,166.09,0.88,1
25,3,847.54,230.65,78.58,219.98,0.93,0
26,1,1041.97,239.78,98.78,225.97,0.92,0
26,2,418.96,60.22,77.03,166.94,0.88,1
26,3,848.86,229.55,77.72,216.86,0.93,0
27,1,1046.87,239.61,97.87,225.31,0.92,0
27,2,422.15,60.34,77.00,166.73,0.88,1
27,3,851.48,229.17,76.65,213.22,0.93,0
28,1,1052.85,239.09,97.11,226.85,0.91,0
28,2,425.53,60.68,77.26,167.25,0.89,1
28,3,854.36,228.63,75.95,210.08,0.94,0
29,1,1060.08,238.79,94.68,225.09,0.91,0
29,2,429.68,60.47,76.67,167.44,0.87,1
29,3,856.92,227.67,76.25,209.96,0.94,0
30,1,1067.27,239.00,93.56,226.99,0.91,0
30,2,433.81,59.88,75.51,167.35,0.87,1
30,3,860.43,227.01,76.52,209.84,0.94,0
31,1,1073.98,239.42,92.89,229.14,0.91,0
31,2,438.26,59.15,74.79,169.27,0.89,1
31,3,863.49,225.23,77.48,211.62,0.93,0
32,1,1078.35,239.46,93.14,232.72,0.91,0
32,2,442.55,59.37,73.48,169.83,0.89,1
32,3,866.68,223.70,78.11,212.99,0.94,0
33,1,1082.23,240.03,92.97,234.40,0.91,0
33,2,447.82,60.15,71.66,168.00,0.89,1
33,3,869.00,222.72,78.62,214.19,0.94,0
34,1,1085.48,240.14,92.58,234.68,0.91,0
34,2,453.36,59.99,70.27,166.85,0.89,1
34,3,870.43,221.94,79.34,215.77,0.94,0
35,1,1087.33,240.28,92.68,235.53,0.92,0
35,2,460.27,60.27,69.65,165.52,0.90,1
35,3,872.33,221.35,79.39,215.82,0.94,0
36,1,1088.88,240.89,92.52,235.27,0.92,0
36,2,467.48,60.31,70.17,165.76,0.90,1
36,3,874.15,220.61,79.72,216.39,0.94,0
37,1,1090.18,241.67,92.55,234.37,0.92,0
37,2,474.48,61.42,70.84,164.77,0.90,1
37,3,876.01,220.48,80.03,217.39,0.93,0
38,1,1091.80,243.07,92.71,233.11,0.92,0
38,2,478.33,63.03,70.99,163.09,0.88,1
38,3,877.07,220.35,80.15,217.87,0.94,0
39,1,1092.88,244.26,93.36,232.61,0.92,0
39,2,481.90,63.74,71.78,162.69,0.87,1
39,3,878.33,220.11,80.10,218.27,0.94,0
40,1,1093.72,245.14,94.30,232.41,0.92,0
40,2,484.41,64.41,72.95,163.15,0.88,1
40,3,879.23,219.16,79.99,218.86,0.94,0
41,1,1095.33,246.13,95.43,231.89,0.92,0
41,2,485.34,64.23,74.43,164.20,0.89,1
41,3,880.23,218.83,79.37,218.18,0.94,0
42,1,1096.31,247.15,96.68,231.68,0.91,0
42,2,487.71,63.75,75.95,164.89,0.89,1
42,3,881.70,218.28,78.60,217.69,0.93,0
43,1,1095.56,247.40,98.29,232.83,0.92,0
43,2,490.45,63.39,76.99,165.32,0.90,1
43,3,882.25,216.43,78.19,218.50,0.93,0
44,1,1095.54,247.81,99.10,232.48,0.92,0
44,2,493.12,62.97,77.81,166.43,0.90,1
44,3,883.22,214.76,77.29,218.47,0.93,0
45,1,1096.60,247.94,99.77,232.34,0.92,0
45,2,497.33,61.44,78.09,167.66,0.91,1
45,3,883.88,213.15,76.25,218.12,0.92,0
46,1,1098.43,247.74,100.57,232.72,0.92,0
46,2,500.60,60.97,78.13,169.45,0.91,1
46,3,884.29,211.36,75.43,218.98,0.92,0
47,1,1101.62,248.10,101.07,232.87,0.91,0
47,2,505.37,61.18,76.99,170.07,0.90,1
